Name,Position,Duration,Tournament,Game,Stage,Match Date,Third Umpire,Umpire 2,Search Event,Club,Umpire 1,Instant Replay Official,Camera Angle,Year,Chukka,Foul,Team,Player,Location,General Field Area,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Assist Outcome,Assist,Penalty Block,Highlight Reel,Penalties,Penalty Outcome,Fouler
Foul,770600,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,La Indiana,Jeff Hall,133;168,Defending Half,Blocking,Penalty 5,141;194,75;168,,,,,,,,,,,,,,
Game Length,779000,6305433,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,,,Team,,,,,,,,Game Length,,,,,,,,,,,,,
Handicap Goal Cessna,779933,6000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,,Handicap Goal Cessna,,,,,,,,,,,,
Throw-in,784100,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Chukka Length,787966,550500,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,Chukka Length,,,,,,,,,,,,,
Foul Received,791100,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,Cessna,Nicolas ‘Nico’ Saenz,28;127,Attacking Half,Blocking,Penalty 5,,,,,,,,,,,,,,,,
Penalty 5,847500,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul (1),868633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,128;68,Attacking 60,Dangerous Use of Mallet,Penalty 5B,71;77,9;61,,,,,,,,,,,,,,
Foul Received (1),868633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,La Indiana,Santiago Gomez Romero,24;225,Defending Half,Dangerous Use of Mallet,Penalty 5B,,,,,,,,,,,,,,,,
Yellow Card (1),883866,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Yellow Card,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,Dangerous Use of Mallet,Penalty 5B,,,,,,,,,,,,,,,,
Shot At Goal,921133,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Polito Pieres,82;120,Attacking Half,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5b,943466,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Polito Pieres,,,,,,,,,Penalty 5b,,,,,,,,,,,
Knock In,972633,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,Knock In,,,,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,
Shot At Goal (1),977500,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Chip Campbell,96;76,Attacking Half,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Knock In (1),1022766,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Jeff Hall,,,,,,,,,Knock In,,,,Santiago Gomez Romero,,,,,,,
Non Call,1055833,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Non Call,Team,,,,Crossing,,,,,,,,,,,,,,,,,
Shot At Goal (2),1058466,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Jeff Hall,81;15,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana,1060300,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Jeff Hall,,,,,,,,Goal La Indiana,,,,,,,,,,,,
Assist,1075300,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Santiago Gomez Romero,,,,,,,,,,,,,,Successful,Santiago Gomez Romero,,,,,
Throw-in (1),1109400,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Shot At Goal (3),1116400,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,80;26,Attacking 30,,,,,,,,,Shot At Goal,Blocked,,,,,,,,
Shot At Goal (4),1123966,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,82;15,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Cessna,1125166,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,Goal Cessna,,,,,,,,,,,,
Assist (1),1133566,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,Unsuccessful,Nicolas ‘Nico’ Saenz,,,,,
Assist (2),1140166,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,Successful,Nicolas ‘Nico’ Saenz,,,,,
Shot Block,1141400,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Santiago Gomez Romero,,,,,,,,,,,,,,,,Shot Block,,,,
Shot At Goal (5),1169800,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Polito Pieres,134;88,Attacking Half,,,,,,,,,Shot At Goal,Blocked,,,,,,,,
Throw-in (2),1184833,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Jeff Hall,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Shot Block (1),1198666,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,,,,,,,,Shot Block,,,,
Foul (2),1208133,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,La Indiana,Santiago Gomez Romero,54;20,Attacking 30,Dangerous Riding,Penalty 5,76;54,37;130,,,,,,,,,,,,,,
Foul Received (2),1208733,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,Cessna,Felipe Marquez,114;280,Defending 30,Dangerous Riding,Penalty 5,,,,,,,,,,,,,,,,
Penalty 5 (1),1237100,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Shot At Goal (6),1256433,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,42;90,Attacking Half,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Cessna (1),1260633,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,Goal Cessna,,,,,,,,,Goals,,,
Throw-in (3),1315366,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Michael Bickford,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Foul (3),1315733,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,Cessna,Chip Campbell,135;168,Defending Half,Blocking,Penalty 60 yards,76;152,130;152,,,,,,,,,,,,,,
Foul Received (3),1317000,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,La Indiana,Polito Pieres,19;130,Attacking Half,Blocking,Penalty 60 yards,,,,,,,,,,,,,,,,
Injury Time,1338466,621866,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,Injury Time,,,,,,,,,,,,,
Penalty 60 yards,1956733,15000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,La Indiana,Polito Pieres,,,,,,,,,,,,,,,,,,Penalty 60 yards,Wide,
Chukka Length (1),1960333,25155,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,Chukka Length,,,,,,,,,,,,,
Knock In (2),2146366,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,,,,,,,,,,Knock In,,,,Felipe Marquez,,,,,,,
Chukka Length (2),2149500,695559,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Team,,,,,,,,Chukka Length,,,,,,,,,,,,,
Shot At Goal (7),2157600,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Nicolas ‘Nico’ Saenz,83;21,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal Cessna (2),2161133,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,Goal Cessna,,,,,,,,,,,,
Assist (3),2176133,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Felipe Marquez,,,,,,,,,,,,,,Successful,Felipe Marquez,,,,,
Foul Received (4),2212533,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul Received,Cessna,Felipe Marquez,132;135,Attacking Half,Blocking,Penalty 5,,,,,,,,,,,,,,,,
Foul (4),2212533,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul,La Indiana,Polito Pieres,125;134,Attacking Half,Blocking,Penalty 5,129;151,137;151,,,,,,,,,,,,,,
Throw-in (4),2217000,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Penalty 5 (2),2258800,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul (5),2264466,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,46;68,Attacking 60,Right of Way,Penalty 5,27;86,87;68,,,,,,,,,,,,,,
Foul Received (5),2264466,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul Received,La Indiana,Polito Pieres,106;233,Defending Half,Right of Way,Penalty 5,,,,,,,,,,,,,,,,
Shot At Goal (8),2295566,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Jeff Hall,85;25,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (1),2297333,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Jeff Hall,,,,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 5 (3),2306666,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Polito Pieres,,,,,,,,,Penalty 5,,,,,,,,,,,
Assist (4),2312333,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Polito Pieres,,,,,,,,,,,,,,Successful,Polito Pieres,,,,,
Yellow Card,2352300,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Yellow Card,Cessna,Felipe Marquez,,,Technical,Penalty 5B,,,,,,,,,,,,,,,,
Shot At Goal (9),2367333,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Santiago Tahier,53;42,Attacking 60,,,,,,,,,Shot At Goal,Short,,,,,,,,
Penalty 5b (1),2373933,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Polito Pieres,,,,,,,,,Penalty 5b,,,,,,,,,,,
Assist (5),2386900,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Polito Pieres,,,,,,,,,,,,,,Unsuccessful,Polito Pieres,,,,,
Shot At Goal (10),2415166,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Jeff Hall,71;20,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (2),2417133,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Jeff Hall,,,,,,,,Goal La Indiana,,,,,,,,,,,,
Assist (6),2432133,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Polito Pieres,,,,,,,,,,,,,,Successful,Polito Pieres,,,,,
Throw-in (5),2519366,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,La Indiana,Santiago Tahier,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Foul Received (6),2546733,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul Received,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,63;234,Defending Half,Blocking,Penalty 5B,,,,,,,,,,,,,,,,
Foul (6),2546733,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,Foul,La Indiana,Polito Pieres,65;70,Attacking 60,Blocking,Penalty 5B,68;252,139;234,,,,,,,,,,,,,,
Penalty 5b (2),2612033,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 2,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5b,,,,,,,,,,,
